poftéște poftește
vrérea vrerea
Hănsarii Hănsari
începândŭ începând
zilii zili
ne­înduplecat neînduplecat
intratu intrat
Misiia Misia
Mahmetu Mahmet
Petralifii Petralifi
prenpregiuru prenpregiur
câmpu câmp
olatu olat
zăbăvindŭ zăbăvind
Calepiin Calepin
Rătezații Rătezați
rude­niile rudenile
Dalmațiia Dalmația
Grozavu Grozav
Acéia Aceia
scau­nul scaunul
po­porului poporului
Sirétem Siretem
jăluitorii jăluitori
Tamizu Tamiz
Braslavschii Braslavschi
Frăticeștii Frăticești
muritu murit
mulsu muls
bâr­fitor bârfitor
gândescu gândesc
goniia gonia
pedéstrimea pedestrimea
Ră­dăuți Rădăuți
préget preget
slovenescŭ slovenesc
aceștii acești
învéțe învețe
latinescu latinesc
înțeleptu înțelept
aședzări așezări
tovără­șiea tovărășiea
Robrostâmpu Robrostâmp
obicéiul obiceiul
păzitu păzit
Șendrii Șendri
Înaltu Înalt
rându rând
piscu pisc
multu mult
oșténii oșteni
lucrŭ lucr
ațâțatu ațâțat
Șipoteneștii Șipotenești
Țilițiia Țiliția
bulucindu bulucind
pa­pistașii papistași
darŭ dar
trebuiéște trebuiește
piiarză piarză
chiieme chieme
déde dede
mi­reasă mireasă
bi­sericile bisericile
orân­duesc orânduesc
cunoscŭ cunosc
sfétnici sfetnici
mu­barec mubarec
articéle articele
tocmescu tocmesc
teméinice temeinice
Bugeagŭ Bugeag
domnitu domnit
Le­șească Leșească
băr­bați bărbați
îm­părțesc împărțesc
izvodiia izvodia
nu­măr număr
dobrogéni dobrogeni
noștrii noștri
pribegitu pribegit
nevinovatu nevinovat
gătitu gătit
Petru Petr
Venețiia Veneția
Buorénii Buoreni
închinatu închinat
Helmu Helm
încălicatu încălicat
Sirétiu Siretiu
stă­pânirea stăpânirea
Pisacenschii Pisacenschi
Traianu Traian
Asiiatică Asiatică
Budii Budi
Plutarhŭ Plutarh
Pisatceschii Pisatceschi
boe­rii boeri
Racovițeștii Racovițești
Liovu Liov
meșterșuguindu meșterșuguind
pricépe pricepe
Oto­manii Otomani
rumânéște rumânește
Împreunatu Împreunat
Tutovii Tutovi
Tânăru Tânăr
povéstea povestea
coprinzândŭ coprinzând
îm­potriva împotriva
ri­dicat ridicat
Cându Când
fiilui filui
Ruschii Ruschi
ere­tică eretică
acéialaltă aceialaltă
